,Nacionalidad,Grupo quinquenal de edad,Sexo,Periodo,Total,Periodo_dt
0,Española,Todas las edades,Todos los generos,1 de enero de 2025,42216326.0,2025-01-01
1,Bélgica,Todas las edades,Todos los generos,1 de enero de 2025,44644.0,2025-01-01
2,Bulgaria,Todas las edades,Todos los generos,1 de enero de 2025,109604.0,2025-01-01
3,Dinamarca,Todas las edades,Todos los generos,1 de enero de 2025,9271.0,2025-01-01
4,Finlandia,Todas las edades,Todos los generos,1 de enero de 2025,11585.0,2025-01-01
5,Francia,Todas las edades,Todos los generos,1 de enero de 2025,127015.0,2025-01-01
6,Irlanda,Todas las edades,Todos los generos,1 de enero de 2025,25178.0,2025-01-01
7,Italia,Todas las edades,Todos los generos,1 de enero de 2025,345777.0,2025-01-01
8,Países Bajos,Todas las edades,Todos los generos,1 de enero de 2025,62896.0,2025-01-01
9,Polonia,Todas las edades,Todos los generos,1 de enero de 2025,61258.0,2025-01-01
10,Portugal,Todas las edades,Todos los generos,1 de enero de 2025,109930.0,2025-01-01
11,Alemania,Todas las edades,Todos los generos,1 de enero de 2025,131830.0,2025-01-01
12,Rumanía,Todas las edades,Todos los generos,1 de enero de 2025,609270.0,2025-01-01
13,Suecia,Todas las edades,Todos los generos,1 de enero de 2025,25567.0,2025-01-01
14,Lituania,Todas las edades,Todos los generos,1 de enero de 2025,17821.0,2025-01-01
15,Otro país de la Unión Europea sin España,Todas las edades,Todos los generos,1 de enero de 2025,66309.0,2025-01-01
16,Reino Unido,Todas las edades,Todos los generos,1 de enero de 2025,266462.0,2025-01-01
17,Noruega,Todas las edades,Todos los generos,1 de enero de 2025,11428.0,2025-01-01
18,Suiza,Todas las edades,Todos los generos,1 de enero de 2025,15387.0,2025-01-01
19,Ucrania,Todas las edades,Todos los generos,1 de enero de 2025,202105.0,2025-01-01
20,Moldavia,Todas las edades,Todos los generos,1 de enero de 2025,15464.0,2025-01-01
21,Rusia,Todas las edades,Todos los generos,1 de enero de 2025,110665.0,2025-01-01
22,Otro país del resto de Europa,Todas las edades,Todos los generos,1 de enero de 2025,69726.0,2025-01-01
23,Argelia,Todas las edades,Todos los generos,1 de enero de 2025,89592.0,2025-01-01
24,Gambia,Todas las edades,Todos los generos,1 de enero de 2025,26953.0,2025-01-01
25,Ghana,Todas las edades,Todos los generos,1 de enero de 2025,21133.0,2025-01-01
26,Guinea,Todas las edades,Todos los generos,1 de enero de 2025,11594.0,2025-01-01
27,Guinea Ecuatorial,Todas las edades,Todos los generos,1 de enero de 2025,14282.0,2025-01-01
28,Mali,Todas las edades,Todos los generos,1 de enero de 2025,38517.0,2025-01-01
29,Marruecos,Todas las edades,Todos los generos,1 de enero de 2025,968999.0,2025-01-01
30,Mauritania,Todas las edades,Todos los generos,1 de enero de 2025,10500.0,2025-01-01
31,Nigeria,Todas las edades,Todos los generos,1 de enero de 2025,32223.0,2025-01-01
32,Senegal,Todas las edades,Todos los generos,1 de enero de 2025,101432.0,2025-01-01
33,Otro país de África,Todas las edades,Todos los generos,1 de enero de 2025,52359.0,2025-01-01
34,Estados Unidos de América,Todas las edades,Todos los generos,1 de enero de 2025,57379.0,2025-01-01
35,México,Todas las edades,Todos los generos,1 de enero de 2025,39650.0,2025-01-01
36,Canadá,Todas las edades,Todos los generos,1 de enero de 2025,7662.0,2025-01-01
37,Cuba,Todas las edades,Todos los generos,1 de enero de 2025,88367.0,2025-01-01
38,Honduras,Todas las edades,Todos los generos,1 de enero de 2025,177929.0,2025-01-01
39,Nicaragua,Todas las edades,Todos los generos,1 de enero de 2025,72492.0,2025-01-01
40,República Dominicana,Todas las edades,Todos los generos,1 de enero de 2025,64212.0,2025-01-01
41,Argentina,Todas las edades,Todos los generos,1 de enero de 2025,148585.0,2025-01-01
42,Bolivia,Todas las edades,Todos los generos,1 de enero de 2025,67242.0,2025-01-01
43,Brasil,Todas las edades,Todos los generos,1 de enero de 2025,105990.0,2025-01-01
44,Colombia,Todas las edades,Todos los generos,1 de enero de 2025,676534.0,2025-01-01
45,Chile,Todas las edades,Todos los generos,1 de enero de 2025,37454.0,2025-01-01
46,Ecuador,Todas las edades,Todos los generos,1 de enero de 2025,132372.0,2025-01-01
47,Paraguay,Todas las edades,Todos los generos,1 de enero de 2025,122635.0,2025-01-01
48,Perú,Todas las edades,Todos los generos,1 de enero de 2025,260544.0,2025-01-01
49,Uruguay,Todas las edades,Todos los generos,1 de enero de 2025,28770.0,2025-01-01
50,Venezuela,Todas las edades,Todos los generos,1 de enero de 2025,377809.0,2025-01-01
51,Otro país de Sudamérica,Todas las edades,Todos los generos,1 de enero de 2025,70.0,2025-01-01
52,Bangladesh,Todas las edades,Todos los generos,1 de enero de 2025,24321.0,2025-01-01
53,China,Todas las edades,Todos los generos,1 de enero de 2025,238372.0,2025-01-01
54,Filipinas,Todas las edades,Todos los generos,1 de enero de 2025,42571.0,2025-01-01
55,India,Todas las edades,Todos los generos,1 de enero de 2025,63015.0,2025-01-01
56,Pakistán,Todas las edades,Todos los generos,1 de enero de 2025,116641.0,2025-01-01
57,Otro país de Asia,Todas las edades,Todos los generos,1 de enero de 2025,78373.0,2025-01-01
58,Apátridas,Todas las edades,Todos los generos,1 de enero de 2025,4781.0,2025-01-01
